Date,Open,High,Low,Close,Adj Close,Volume
27/04/2021,69302.5625,71335.48438,68479.10938,70851.39844,70851.39844,63661224320
28/04/2021,70855.92969,72158.73438,69613.27344,70277.26563,70277.26563,61529726444
29/04/2021,70320.0625,70623.29688,67443.65625,68859.60156,68859.60156,59259809332
30/04/2021,68877.03125,75030.07031,68325.09375,74834.99219,74834.99219,67896744503
1/05/2021,74788.96875,75739.69531,73930.61719,74935.89844,74935.89844,55509156030
2/05/2021,74933.0625,75032.49219,72705.00781,73346.8125,73346.8125,49446191891
3/05/2021,73332.82031,76342.60156,73342.21875,73726.94531,73726.94531,66654409439
4/05/2021,73744.84375,73744.84375,68966.46094,69161.0625,69161.0625,88912312230
5/05/2021,69055.54688,74741.27344,68647.89844,74084.49219,74084.49219,89330369216
6/05/2021,74106.8125,75278.10938,71198.58594,72426.32031,72426.32031,89284166525
7/05/2021,72448.71875,74676.21875,71158.05469,73119.94531,73119.94531,87242088191
8/05/2021,73115.3125,75797.9375,72633.99219,74955.58594,74955.58594,83341920073
9/05/2021,75049.41406,75474.51563,71996.08594,74103.07031,74103.07031,83869031548
10/05/2021,74126.67969,75892.82813,68970.89844,71245.71094,71245.71094,91546534658
11/05/2021,71229.69531,72529.44531,69642.35938,72346.41406,72346.41406,78220194835
12/05/2021,72359.125,74376.58594,63565.20703,63565.20703,63565.20703,97274276703
13/05/2021,64321.64063,66390.13281,60827.66016,64367.60156,64367.60156,1.25225E+11
14/05/2021,64324.60547,66162.69531,63251.77344,64148.46094,64148.46094,71680762699
15/05/2021,64116.26172,65124.73828,60012.04688,60135.5625,60135.5625,76083591816
16/05/2021,60079.55859,63942.06641,56561.79688,59725.16406,59725.16406,82341672964
17/05/2021,59673.53516,59967.82813,54326.94141,56011.22656,56011.22656,96363905384
18/05/2021,55947.60547,58769.6875,54343.14063,55097.90234,55097.90234,72147498511
19/05/2021,55143.58203,55928.75781,39622.33203,47929.37109,47929.37109,1.63672E+11
20/05/2021,47607.13672,54675.59375,45317.29297,52488.36328,52488.36328,1.13621E+11
21/05/2021,52249.24609,54259.94141,43497.875,48270.25391,48270.25391,1.0617E+11
22/05/2021,48356.09375,50245.28906,45784.57422,48570.375,48570.375,74243093200
23/05/2021,48563.66797,49544.17969,40406.49219,45011.17969,45011.17969,1.0158E+11
24/05/2021,44920.28125,51370.20313,44710.23828,49939.30469,49939.30469,86908817315
25/05/2021,50055.16797,51307.07422,47102.17578,49560.875,49560.875,72545580814
26/05/2021,49548.48438,52443.14063,48858.76563,50769.83203,50769.83203,66342241084
27/05/2021,50799.15234,52181.85156,48155.83984,49644.76563,49644.76563,55810811879
28/05/2021,49735.32422,50194.38281,45102.29297,46293.51172,46293.51172,71584933728
29/05/2021,46276.07031,48286.58984,43695.09766,44890.94922,44890.94922,58656663637
30/05/2021,44879.71484,47206.42578,43470.49609,46287.01953,46287.01953,41056043083
31/05/2021,46261.67578,48371.09766,44326.19531,48212.76563,48212.76563,50378487537
1/06/2021,48162.32422,48911.95313,46155.17578,47300.33203,47300.33203,44662929299
2/06/2021,47319.66797,49305.04688,46340.28516,48519.81641,48519.81641,42703517889
3/06/2021,48551.10156,51046.20313,48113.25391,51166.33984,51166.33984,46275286406
4/06/2021,51210.34766,51210.34766,46581.76953,47659.23438,47659.23438,54036314695
5/06/2021,47640.82813,48981.11719,45083.44531,45925.09766,45925.09766,46451512791
6/06/2021,45907.85156,47067.62109,45619.34375,46321.24609,46321.24609,37345727484
7/06/2021,46286.22656,47556.70703,43161.83594,43269.51953,43269.51953,43428396384
8/06/2021,43306.66797,43819.19141,40218.49609,43251.79688,43251.79688,64481134087
9/06/2021,43179.88281,48566.64063,41968.78906,48315.66016,48315.66016,69828057668
10/06/2021,48373.09766,49527.60156,46241.96094,47374.10156,47374.10156,56246025862
11/06/2021,47366.91406,48513.37109,46529.99609,48436.00781,48436.00781,50207335976
12/06/2021,48443.45703,48532.69531,45054.82422,46124.26953,46124.26953,49201225455
13/06/2021,46128.51953,51029.01563,45231.16406,50724.3125,50724.3125,52762805584
14/06/2021,50619.36719,53054.07422,50340.01563,52144.78516,52144.78516,55944207533
